"","X","Source","Year","Mean"
"93",186,"GISTEMP",1924,-0.28
"94",188,"GISTEMP",1923,-0.24
"95",190,"GISTEMP",1922,-0.28
"96",192,"GISTEMP",1921,-0.21
"97",194,"GISTEMP",1920,-0.27
"98",196,"GISTEMP",1919,-0.22
"99",198,"GISTEMP",1918,-0.26
"100",200,"GISTEMP",1917,-0.4
"101",202,"GISTEMP",1916,-0.34
"102",204,"GISTEMP",1915,-0.11
"103",206,"GISTEMP",1914,-0.16
"104",208,"GISTEMP",1913,-0.34
"105",210,"GISTEMP",1912,-0.35
"106",212,"GISTEMP",1911,-0.44
"107",214,"GISTEMP",1910,-0.42
"108",216,"GISTEMP",1909,-0.47
"109",218,"GISTEMP",1908,-0.43
"110",220,"GISTEMP",1907,-0.4
"111",222,"GISTEMP",1906,-0.23
"112",224,"GISTEMP",1905,-0.28
"113",226,"GISTEMP",1904,-0.44
"114",228,"GISTEMP",1903,-0.35
"115",230,"GISTEMP",1902,-0.27
"116",232,"GISTEMP",1901,-0.15
"117",234,"GISTEMP",1900,-0.09
"118",236,"GISTEMP",1899,-0.16
"119",238,"GISTEMP",1898,-0.28
"120",240,"GISTEMP",1897,-0.11
"121",242,"GISTEMP",1896,-0.15
"122",244,"GISTEMP",1895,-0.21
"123",246,"GISTEMP",1894,-0.31
"124",248,"GISTEMP",1893,-0.3
"125",250,"GISTEMP",1892,-0.27
"126",252,"GISTEMP",1891,-0.24
"127",254,"GISTEMP",1890,-0.37
"128",256,"GISTEMP",1889,-0.12
"129",258,"GISTEMP",1888,-0.2
"130",260,"GISTEMP",1887,-0.33
"131",262,"GISTEMP",1886,-0.31
"132",264,"GISTEMP",1885,-0.32
"133",266,"GISTEMP",1884,-0.28
"134",268,"GISTEMP",1883,-0.21
"135",270,"GISTEMP",1882,-0.1
"136",272,"GISTEMP",1881,-0.12
"137",274,"GISTEMP",1880,-0.2
